name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,source
"38.8853,-77.0386",1990-01-01,7.8,2,4.9,-3,57.6,16.007,100,20.83,,,38.1,38.1,27.4,11.6,1013.7,52,,,,1990-01-01T07:26:55,1990-01-01T16:56:46,obs
"38.8853,-77.0386",1990-01-02,7.7,-1.9,2.2,-5.1,60.1,0,0,0,,,17.4,17.4,12,8.5,1029.3,1.6,,,,1990-01-02T07:27:02,1990-01-02T16:57:35,obs
"38.8853,-77.0386",1990-01-03,10,-1.3,2.6,-2.9,69.2,0,0,0,,,16.5,16.5,8.5,3.5,1027.2,45,,,,1990-01-03T07:27:07,1990-01-03T16:58:26,obs
"38.8853,-77.0386",1990-01-04,12.8,-1.8,5.5,3.9,90,1.595,100,20.83,,,27.3,27.3,15,4.9,1018,86.2,,,,1990-01-04T07:27:11,1990-01-04T16:59:18,obs
"38.8853,-77.0386",1990-01-05,10.4,4.2,7.2,2.4,73,0,0,0,,,23,23,11.5,0.5,1020.5,97,,,,1990-01-05T07:27:12,1990-01-05T17:00:12,obs
"38.8853,-77.0386",1990-01-06,9.1,0.9,5.2,-0.1,71.3,1.115,100,16.67,,,23.1,23.1,11,5,1018.8,75.3,,,,1990-01-06T07:27:10,1990-01-06T17:01:07,obs
"38.8853,-77.0386",1990-01-07,6.1,-5.2,1.4,-1.6,81.3,0,0,0,,,13.5,13.5,7.6,1.6,1021.1,86.2,,,,1990-01-07T07:27:07,1990-01-07T17:02:03,obs
"38.8853,-77.0386",1990-01-08,3.1,0.1,1.7,0.1,88.9,13.867,100,45.83,1.5,,22.8,22.8,11.5,3.2,1013,89.2,,,,1990-01-08T07:27:01,1990-01-08T17:03:00,obs
"38.8853,-77.0386",1990-01-09,7.1,-0.6,1.7,0.9,95.1,0.114,100,4.17,3,,23.5,23.5,13.5,5.3,1013.9,73.5,,,,1990-01-09T07:26:54,1990-01-09T17:03:58,obs
"38.8853,-77.0386",1990-01-10,10.4,3.4,6.4,0.6,68.8,0.265,100,4.17,3,,35.4,35.4,20.2,8.1,1008.2,85.1,,,,1990-01-10T07:26:44,1990-01-10T17:04:57,obs
"38.8853,-77.0386",1990-01-11,11.5,-0.1,6,-1.8,60.6,0,0,0,,,25.3,25.3,17.5,5.2,1005.4,80.5,,,,1990-01-11T07:26:32,1990-01-11T17:05:58,obs
"38.8853,-77.0386",1990-01-12,8.7,0,4.3,-7,44.6,0,0,0,,,32.7,32.7,24.7,12.4,1003.5,68.4,,,,1990-01-12T07:26:18,1990-01-12T17:06:59,obs
"38.8853,-77.0386",1990-01-13,3.7,-1.8,0.4,-10.4,44.9,0,0,0,,,31.4,31.4,24.3,10.5,1020.4,16.2,,,,1990-01-13T07:26:02,1990-01-13T17:08:01,obs
"38.8853,-77.0386",1990-01-14,7.7,-3.4,1.5,-7.5,53.2,0,0,0,,,18.9,18.9,11.1,7,1029.1,53.1,,,,1990-01-14T07:25:44,1990-01-14T17:09:04,obs
"38.8853,-77.0386",1990-01-15,11.3,2.6,5.5,-0.6,66.2,0.702,100,20.83,,,17,17,9.7,4.8,1025,66.4,,,,1990-01-15T07:25:23,1990-01-15T17:10:08,obs
"38.8853,-77.0386",1990-01-16,17,0.7,7.5,2.2,71.3,0,0,0,,,22.3,22.3,13,5,1027.1,52,,,,1990-01-16T07:25:01,1990-01-16T17:11:13,obs
"38.8853,-77.0386",1990-01-17,18,3.1,10.7,5.9,74.1,0,0,0,,,22.5,22.5,12.8,3.4,1024,29.9,,,,1990-01-17T07:24:37,1990-01-17T17:12:18,obs
"38.8853,-77.0386",1990-01-18,19.9,11.6,15.7,10.1,69.5,0.033,100,4.17,,,33.8,33.8,20.6,12.5,1017.2,88.9,,,,1990-01-18T07:24:10,1990-01-18T17:13:24,obs
"38.8853,-77.0386",1990-01-19,9.9,3.6,5.9,-4.3,48.4,0,0,0,,,26.2,26.2,15.9,5.1,1028.9,90.5,,,,1990-01-19T07:23:42,1990-01-19T17:14:30,obs
"38.8853,-77.0386",1990-01-20,7.1,2.1,4.8,2.1,83.8,2.81,100,41.67,,,22.7,22.7,11.9,0.2,1020.6,100,,,,1990-01-20T07:23:11,1990-01-20T17:15:37,obs
