cluster,location,lat,long
2,Japan/Wakkanai,45.415,141.6788889
2,Japan/Rumoi,43.94611111,141.6319444
2,Japan/Asahikawa,43.75694444,142.3722222
2,Japan/Abashiri,44.01777778,144.2797222
2,Japan/Sapporo,43.06,141.3286111
2,Japan/Iwamizawa,43.21166667,141.7858333
2,Japan/Obihiro,42.92222222,143.2119444
2,Japan/Kushiro,42.98583333,144.3777778
2,Japan/Kushiro,42.95305556,144.4375
2,Japan/Nemuro,43.33055556,145.5855556
2,Japan/Muroran,42.31166667,140.9752778
2,Japan/Muroran,42.32361111,140.97
2,Japan/Urakawa,42.1625,142.7769444
2,Japan/Esashi,41.86722222,140.1238889
2,Japan/Hakodate,41.81666667,140.7541667
2,Japan/Kutchan,42.90111111,140.7580556
2,Japan/Mombetsu,44.345,143.3552778
2,Japan/Hiroo,42.29444444,143.3166667
1,Japan/Shinjo,38.75694444,140.3122222
2,Japan/Aomori,40.82166667,140.7688889
2,Japan/Hachinohe,40.52722222,141.5216667
1,Japan/Akita,39.7175,140.0991667
2,Japan/Morioka,39.69833333,141.1661111
2,Japan/Miyako,39.64694444,141.9658333
1,Japan/Sakata,38.90861111,139.8433333
1,Japan/Yamagata,38.25555556,140.3461111
1,Japan/Sendai,38.26194444,140.8966667
1,Japan/Sendai,38.26222222,140.8966667
1,Japan/Fukushima,37.75944444,140.4708333
1,Japan/Shirakawa,37.13166667,140.215
1,Japan/Onahama,36.9475,140.9033333
1,Japan/Wajima,37.39138889,136.8952778
1,Japan/Aikawa,38.02916667,138.24
1,Japan/Niigata,37.89361111,139.0188889
1,Japan/Kanazawa,36.58972222,136.6347222
1,Japan/Toyama,36.70944444,137.2025
1,Japan/Nagano,36.66277778,138.1925
1,Japan/Takada,37.10666667,138.2466667
1,Japan/Utsunomiya,36.54972222,139.8683333
3,Japan/Fukui,36.05555556,136.2225
1,Japan/Takayama,36.15611111,137.2533333
1,Japan/Matsumoto,36.24666667,137.9705556
1,Japan/Maebashi,36.40527778,139.0605556
1,Japan/Kumagaya,36.15,139.38
1,Japan/Mito,36.38111111,140.4680556
3,Japan/Tsuruga,35.65333333,136.0622222
3,Japan/Gifu,35.40027778,136.7625
3,Japan/Nagoya,35.16777778,136.9655556
3,Japan/Nagoya,35.16833333,136.9647222
1,Japan/Iida,35.52333333,137.8225
1,Japan/Kofu,35.66722222,138.5538889
1,Japan/Choshi,35.73972222,140.8572222
3,Japan/Tsu,34.73416667,136.5197222
1,Japan/Hamamatsu,34.75388889,137.7116667
1,Japan/Shizuoka,34.97611111,138.4038889
1,Japan/Tokyo,35.69166667,139.7511111
3,Japan/Owase,34.06972222,136.1933333
1,Japan/Yokohama,35.43972222,139.6525
1,Japan/Tateyama,34.98694444,139.8652778
1,Japan/Oshima,34.74944444,139.3630556
1,Japan/Miyakejima,34.12388889,139.5213889
1,Japan/Hachijojima,33.12166667,139.7791667
3,Japan/Saigo,36.20444444,133.3338889
3,Japan/Matsue,35.45722222,133.0655556
3,Japan/Yonago,35.43472222,133.3386111
3,Japan/Tottori,35.48777778,134.2383333
3,Japan/Tottori,35.53083333,134.1994444
3,Japan/Toyooka,35.53583333,134.8222222
3,Japan/Maizuru,35.45027778,135.3180556
3,Japan/Hamada,34.89666667,132.0705556
3,Japan/Kyoto,35.01472222,135.7327778
3,Japan/Hikone,35.27611111,136.2438889
4,Japan/Shimonoseki,33.94861111,130.9261111
3,Japan/Hiroshima,34.39861111,132.4627778
3,Japan/Okayama,34.68583333,133.9252778
3,Japan/Kobe,34.69694444,135.2127778
3,Japan/Osaka,34.68222222,135.5191667
3,Japan/Sumoto,34.33833333,134.905
3,Japan/Wakayama,34.22888889,135.1641667
3,Japan/Shionomisaki,33.45027778,135.7572222
3,Japan/Nara,34.69388889,135.8277778
4,Japan/Izuhara,34.19777778,129.2919444
4,Japan/Izuhara,34.15333333,129.2227778
4,Japan/Fukuoka,33.58222222,130.3763889
4,Japan/Saga,33.26638889,130.3052778
4,Japan/Oita,33.23611111,131.6191667
4,Japan/Nagasaki,32.73416667,129.8680556
4,Japan/Kumamoto,32.81361111,130.7069444
4,Japan/Nobeoka,32.58194444,131.6580556
4,Japan/Kagoshima,31.555,130.5480556
4,Japan/Miyazaki,31.93833333,131.4141667
4,Japan/Yakushima,30.38555556,130.6591667
4,Japan/Yakushima,30.38305556,130.6591667
4,Japan/Tanegashima,30.72027778,130.9825
4,Japan/Fukue,32.69472222,128.8269444
3,Japan/Matsuyama,33.84361111,132.7775
3,Japan/Takamatsu,34.31805556,134.0544444
4,Japan/Uwajima,33.22777778,132.5530556
3,Japan/Kochi,33.56805556,133.5494444
3,Japan/Kochi,33.56833333,133.5491667
3,Japan/Tokushima,34.06777778,134.5733333
0,Japan/Naze,28.37972222,129.4955556
0,Japan/Naze/Funchatoge,28.39416667,129.5527778
0,Japan/Yonagunijima,24.46666667,123.0105556
0,Japan/Iriomotejima,24.42777778,123.7655556
0,Japan/Ishigakijima,24.33666667,124.1644444
0,Japan/Miyakojima,24.79444444,125.2783333
0,Japan/Kumejima,26.33805556,126.8038889
0,Japan/Naha,26.20722222,127.6872222
0,Japan/Nago,26.59416667,127.9663889
0,Japan/Minamidaitojima,25.82888889,131.2286111
