cluster,location,lat,long
3,2251,45.4856,-122.855499
4,1841,39.973316,-82.802826
3,8861,41.71357,-121.507545
3,8937,41.709045,-121.514771
0,23040,53.93327,-116.5765
3,27098,44.668655,-123.222923
3,27101,44.611359,-123.329849
0,33735,48.024921,-122.469193
0,29890,48.91993,-122.640564
1,6432,37.799515,-122.412834
1,3,35.879211,-84.172203
1,10918,37.243382,-80.427132
1,8309,39.731804,-104.961166
4,21670,42.330338,-71.049316
1,26673,39.032318,-94.59211
4,26736,40.667068,-73.991501
3,28716,44.935444,-123.031776
1,29913,38.909508,-77.07354
1,29916,38.908012,-77.072189
4,30294,40.733265,-74.666374
4,30300,40.73381,-74.668793
4,30336,40.733189,-74.669708
1,31254,38.891289,-77.03009
4,32789,40.73082,-73.99733
1,36695,37.997528,-84.401024
1,37094,39.065319,-77.117416
4,37671,40.585594,-75.569016
4,37739,40.992794,-73.662766
4,38179,39.891624,-75.028877
1,38113,37.396343,-79.28231
1,40293,38.028393,-84.499519
4,43221,40.879101,-73.147514
3,43839,44.571491,-123.282806
0,43946,47.653053,-122.30777
3,43967,44.576656,-123.282387
3,43970,45.327137,-122.917313
0,43975,47.84,-122.321098
0,43989,47.663101,-122.315498
2,43756,34.689434,135.269272
0,44023,47.381573,-122.233505
4,44322,42.046661,-72.753372
3,47791,44.570518,-123.278702
1,48039,35.928917,-79.914223
4,48098,42.721954,-73.752441
4,50739,40.691261,-73.963165
4,51102,40.6912,-73.963203
4,50546,41.844032,-71.436195
0,51658,47.837257,-122.215523
1,52046,39.296749,-102.272293
1,52605,38.038338,-84.5047
1,2348,35.926178,-78.692719
1,2424,35.875225,-78.737076
1,5399,38.886761,-77.041016
4,18536,40.866119,-73.879341
1,19941,38.451824,-87.360291
1,25451,35.177742,-80.848755
1,28788,38.984661,-76.93821
1,28790,38.991508,-76.950378
1,28793,38.983994,-76.935974
1,28796,38.984314,-76.940369
1,28797,38.982372,-76.939468
1,28791,38.992157,-76.943802
1,28918,38.988239,-76.943115
1,28752,38.985867,-76.947266
1,28923,38.986008,-76.938278
1,28933,38.989643,-76.940872
1,28934,38.984295,-76.944366
1,28954,38.98613,-76.938805
1,36676,37.987316,-84.401337
1,37620,35.89801,-86.415253
4,37660,40.201962,-75.535255
2,43087,29.531181,106.512856
4,43604,40.94595,-74.017372
0,43923,47.657265,-122.307213
0,43987,47.208603,-122.473312
3,43969,44.567272,-123.26693
4,9044,44.272942,-73.947464
1,8901,35.590618,-83.470062
1,11837,35.562538,-83.497864
0,11610,47.279659,-92.168053
0,23676,46.996738,-94.696556
0,27269,48.168194,-90.879684
4,38032,44.863602,-78.285202
1,43621,35.572201,-82.626099
4,44183,40.060658,-85.999557
0,1904,47.143215,-93.431
3,33980,44.929199,-93.164223
1,38575,39.756115,-105.030197
1,42591,39.140896,-86.5159
1,42580,39.693493,-105.081024
1,43004,38.590019,-121.305397
1,46742,35.485901,-82.997948
