location,year,tempmax_01,tempmax_02,tempmax_03,tempmax_04,tempmax_05,tempmax_06,tempmax_07,tempmax_08,tempmax_09,tempmax_10,tempmax_11,tempmax_12,tempmin_01,tempmin_02,tempmin_03,tempmin_04,tempmin_05,tempmin_06,tempmin_07,tempmin_08,tempmin_09,tempmin_10,tempmin_11,tempmin_12,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,dew_01,dew_02,dew_03,dew_04,dew_05,dew_06,dew_07,dew_08,dew_09,dew_10,dew_11,dew_12,humidity_01,humidity_02,humidity_03,humidity_04,humidity_05,humidity_06,humidity_07,humidity_08,humidity_09,humidity_10,humidity_11,humidity_12,precip_01,precip_02,precip_03,precip_04,precip_05,precip_06,precip_07,precip_08,precip_09,precip_10,precip_11,precip_12,precipprob_01,precipprob_02,precipprob_03,precipprob_04,precipprob_05,precipprob_06,precipprob_07,precipprob_08,precipprob_09,precipprob_10,precipprob_11,precipprob_12,precipcover_01,precipcover_02,precipcover_03,precipcover_04,precipcover_05,precipcover_06,precipcover_07,precipcover_08,precipcover_09,precipcover_10,precipcover_11,precipcover_12,snowdepth_01,snowdepth_02,snowdepth_03,snowdepth_04,snowdepth_05,snowdepth_06,snowdepth_07,snowdepth_08,snowdepth_09,snowdepth_10,snowdepth_11,snowdepth_12,windgust_01,windgust_02,windgust_03,windgust_04,windgust_05,windgust_06,windgust_07,windgust_08,windgust_09,windgust_10,windgust_11,windgust_12,windspeed_01,windspeed_02,windspeed_03,windspeed_04,windspeed_05,windspeed_06,windspeed_07,windspeed_08,windspeed_09,windspeed_10,windspeed_11,windspeed_12,windspeedmax_01,windspeedmax_02,windspeedmax_03,windspeedmax_04,windspeedmax_05,windspeedmax_06,windspeedmax_07,windspeedmax_08,windspeedmax_09,windspeedmax_10,windspeedmax_11,windspeedmax_12,windspeedmean_01,windspeedmean_02,windspeedmean_03,windspeedmean_04,windspeedmean_05,windspeedmean_06,windspeedmean_07,windspeedmean_08,windspeedmean_09,windspeedmean_10,windspeedmean_11,windspeedmean_12,windspeedmin_01,windspeedmin_02,windspeedmin_03,windspeedmin_04,windspeedmin_05,windspeedmin_06,windspeedmin_07,windspeedmin_08,windspeedmin_09,windspeedmin_10,windspeedmin_11,windspeedmin_12,sealevelpressure_01,sealevelpressure_02,sealevelpressure_03,sealevelpressure_04,sealevelpressure_05,sealevelpressure_06,sealevelpressure_07,sealevelpressure_08,sealevelpressure_09,sealevelpressure_10,sealevelpressure_11,sealevelpressure_12,cloudcover_01,cloudcover_02,cloudcover_03,cloudcover_04,cloudcover_05,cloudcover_06,cloudcover_07,cloudcover_08,cloudcover_09,cloudcover_10,cloudcover_11,cloudcover_12,solarradiation_01,solarradiation_02,solarradiation_03,solarradiation_04,solarradiation_05,solarradiation_06,solarradiation_07,solarradiation_08,solarradiation_09,solarradiation_10,solarradiation_11,solarradiation_12,solarenergy_01,solarenergy_02,solarenergy_03,solarenergy_04,solarenergy_05,solarenergy_06,solarenergy_07,solarenergy_08,solarenergy_09,solarenergy_10,solarenergy_11,solarenergy_12,uvindex_01,uvindex_02,uvindex_03,uvindex_04,uvindex_05,uvindex_06,uvindex_07,uvindex_08,uvindex_09,uvindex_10,uvindex_11,uvindex_12,day_length_01,day_length_02,day_length_03,day_length_04,day_length_05,day_length_06,day_length_07,day_length_08,day_length_09,day_length_10,day_length_11,day_length_12
"28.39416667,131.2286111",2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37999.709677419356,40270.58620689655,43228.25806451613,46278.166666666664,48828.87096774193,50102.0,49478.645161290326,47268.12903225807,44364.36666666667,41328.8064516129,38688.73333333333,37334.354838709674
"28.39416667,131.2286111",2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38040.8064516129,40292.28571428572,43203.45161290323,46255.0,48812.8064516129,50099.13333333333,49490.77419354839,47289.32258064516,44388.6,41352.290322580644,38706.0,37337.25806451613
"28.39416667,131.2286111",2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38027.1935483871,40270.0,43178.87096774193,46231.96666666667,48796.3870967742,50096.6,49502.967741935485,47310.54838709677,44412.9,41375.45161290323,38723.46666666667,37340.3870967742
"28.39416667,131.2286111",2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38013.74193548387,40247.53571428572,43154.12903225807,46208.8,48780.1935483871,50093.433333333334,49514.967741935485,47331.67741935484,44436.9,41398.8064516129,38740.53333333333,37343.51612903226
"28.39416667,131.2286111",2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.45161290323,40272.862068965514,43231.354838709674,46281.566666666666,48831.903225806454,50103.13333333333,49477.58064516129,47265.32258064516,44361.066666666666,41325.3870967742,38685.96666666667,37333.25806451613
"28.39416667,131.2286111",2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38042.096774193546,40294.892857142855,43206.77419354839,46258.566666666666,48815.58064516129,50100.4,49489.6129032258,47286.354838709674,44385.166666666664,41348.6129032258,38703.2,37336.290322580644
"28.39416667,131.2286111",2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38028.77419354839,40272.78571428572,43182.1935483871,46235.566666666666,48799.3870967742,50097.4,49501.48387096774,47307.3870967742,44409.13333333333,41371.93548387097,38720.5,37339.67741935484
"28.39416667,131.2286111",2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38015.58064516129,40250.5,43157.709677419356,46212.53333333333,48782.8064516129,50094.2,49513.16129032258,47328.22580645161,44433.03333333333,41395.1935483871,38737.96666666667,37343.1935483871
"28.39416667,131.2286111",2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38002.3870967742,40276.0,43235.12903225807,46285.23333333333,48834.32258064516,50103.333333333336,49475.41935483871,47261.8064516129,44357.3,41321.77419354839,38683.63333333333,37333.1935483871
"28.39416667,131.2286111",2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38044.290322580644,40298.57142857143,43210.6129032258,46262.1,48817.93548387097,50100.3,49487.1935483871,47282.74193548387,44381.23333333333,41345.32258064516,38701.13333333333,37336.58064516129
