name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,source
"34.19777778,132.5530556",2000-01-01,13.3,5.1,8.9,1.5,60.7,0,0,0,,,20.6,20.6,10.6,4.2,1023.6,59.3,,,,2000-01-01T07:15:39,2000-01-01T17:10:15,obs
"34.19777778,132.5530556",2000-01-02,10.8,6.1,8.5,2.2,64.6,0.01,100,8.33,,,9.5,9.5,5.6,2.3,1016.1,75,,,,2000-01-02T07:15:52,2000-01-02T17:11:00,obs
"34.19777778,132.5530556",2000-01-03,14.6,7.6,11.2,0.9,52.5,0.026,100,4.17,,,18.5,18.5,8.7,2.1,1015.9,32.2,,,,2000-01-03T07:16:03,2000-01-03T17:11:45,obs
"34.19777778,132.5530556",2000-01-04,11.7,3.1,7.2,0.5,62.9,0,0,0,,,14.8,14.8,6.5,2.2,1021.9,20.7,,,,2000-01-04T07:16:12,2000-01-04T17:12:32,obs
"34.19777778,132.5530556",2000-01-05,12.3,4.3,8.4,3.2,70.2,0.985,100,4.17,,,9.2,9.2,5.3,2.2,1020.4,55.6,,,,2000-01-05T07:16:20,2000-01-05T17:13:20,obs
"34.19777778,132.5530556",2000-01-06,14.1,8.7,11.3,9.2,87,0.034,100,4.17,,,13.6,13.6,5.8,1.9,1012.7,79,,,,2000-01-06T07:16:25,2000-01-06T17:14:09,obs
"34.19777778,132.5530556",2000-01-07,13,6.3,9.9,1.3,56.9,0.7,100,4.17,,,18.7,18.7,12.4,3.6,1017.5,66.1,,,,2000-01-07T07:16:29,2000-01-07T17:14:59,obs
"34.19777778,132.5530556",2000-01-08,9.8,3.9,7.2,0.5,62.8,0.024,100,4.17,,,16.4,16.4,8.7,3.6,1021,73.4,,,,2000-01-08T07:16:30,2000-01-08T17:15:50,obs
"34.19777778,132.5530556",2000-01-09,9.1,3.2,5.9,2.3,77.5,11.737,100,4.17,,,9.5,9.5,5.9,0.4,1019.6,89,,,,2000-01-09T07:16:30,2000-01-09T17:16:42,obs
"34.19777778,132.5530556",2000-01-10,12.8,5.9,8.6,3.5,72.5,12.929,100,4.17,,,22.1,22.1,8.3,0.7,1018,75.5,,,,2000-01-10T07:16:28,2000-01-10T17:17:34,obs
"34.19777778,132.5530556",2000-01-11,9.7,4.9,7.3,-1.5,53.9,0,0,0,,,20.6,20.6,11.2,5.5,1023,58.6,,,,2000-01-11T07:16:24,2000-01-11T17:18:28,obs
"34.19777778,132.5530556",2000-01-12,8.1,6.1,6.9,0.8,65.6,2.09,100,8.33,,,9.6,9.6,6,0.6,1016.9,94.4,,,,2000-01-12T07:16:19,2000-01-12T17:19:22,obs
"34.19777778,132.5530556",2000-01-13,11.1,6.7,9.1,7.2,87.9,4.042,100,8.33,,,9.3,9.3,4.3,0.5,1009.2,92.2,,,,2000-01-13T07:16:11,2000-01-13T17:20:17,obs
"34.19777778,132.5530556",2000-01-14,11.6,6.9,9,2,62.9,0.692,100,4.17,,,12.8,12.8,7.9,3.8,1016.2,58.9,,,,2000-01-14T07:16:01,2000-01-14T17:21:12,obs
"34.19777778,132.5530556",2000-01-15,12,3.5,8,2.1,67.1,0,0,0,,,11.1,11.1,6.3,2.1,1020.5,68.7,,,,2000-01-15T07:15:50,2000-01-15T17:22:08,obs
"34.19777778,132.5530556",2000-01-16,9.1,6.3,7,3.4,78,4.6,100,8.33,,,11.2,11.2,7.8,3.9,1017.6,89.2,,,,2000-01-16T07:15:37,2000-01-16T17:23:05,obs
