name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,source
"37.48129,130.89864",2000-01-01,3.9,2.9,3.3,-1.5,70.9,0,0,0,,,18.4,18.4,15.3,11.2,1028.9,95.7,,,,2000-01-01T07:30:59,2000-01-01T17:08:11,obs
"37.48129,130.89864",2000-01-02,9.2,3.9,6.4,-0.6,61.4,0.8,100,8.33,,,27.7,27.7,12.2,5.4,,86.3,,,,2000-01-02T07:31:09,2000-01-02T17:08:58,obs
"37.48129,130.89864",2000-01-03,5.2,1.7,3.4,-6.6,48.2,0,0,0,,,24.1,24.1,9.3,3.6,,41.3,,,,2000-01-03T07:31:18,2000-01-03T17:09:46,obs
"37.48129,130.89864",2000-01-04,6.4,1.7,3.4,-4.7,57.1,0,0,0,,,9.4,9.4,7,3.6,1024.7,46.3,,,,2000-01-04T07:31:24,2000-01-04T17:10:35,obs
"37.48129,130.89864",2000-01-05,8.4,3.4,5.9,0.3,67.4,0.1,100,4.17,,,13,13,8.7,5.4,,93.8,,,,2000-01-05T07:31:29,2000-01-05T17:11:26,obs
"37.48129,130.89864",2000-01-06,12.2,8.2,10.3,5.8,74.7,0.7,100,4.17,,,27.7,27.7,11.3,3.6,,97.1,,,,2000-01-06T07:31:31,2000-01-06T17:12:18,obs
"37.48129,130.89864",2000-01-07,4.6,-2.4,-0.8,-13,39.4,1.4,100,8.33,,,25.9,25.9,15.4,9.4,,80,,,,2000-01-07T07:31:31,2000-01-07T17:13:12,obs
"37.48129,130.89864",2000-01-08,2.1,-1.8,0,-11,43.6,1.4,100,8.33,,,18.4,18.4,13.6,5.4,,72.5,,,,2000-01-08T07:31:30,2000-01-08T17:14:06,obs
"37.48129,130.89864",2000-01-09,4.7,0.9,2.7,-6.7,50.1,0,0,0,,,14.8,14.8,5.8,3.6,,80,,,,2000-01-09T07:31:26,2000-01-09T17:15:01,obs
"37.48129,130.89864",2000-01-10,6.2,0.9,3.7,-4.9,54.8,4,100,8.33,,,18.4,18.4,12.5,5.4,,76.3,,,,2000-01-10T07:31:20,2000-01-10T17:15:58,obs
