name,latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,source
Morioka,39.694,141.153,2020-01-01,0.2,-2.3,-1.5,-3.8,-8,-6.3,-5.4,75.6,0.5,100,4.17,"rain,snow",0.6,4.3,,22.3,22.3,15.6,5.4,235,1018.5,42.6,13.4,72.9,6.2,3,,2020-01-01T06:56:19,2020-01-01T16:20:53,obs
Morioka,39.694,141.153,2020-01-02,2.1,-2.1,0,-1.2,-7.7,-3.7,-4.9,70.8,0,0,0,"rain,snow",0.4,4.7,50,20.5,20.5,12.1,5.4,248.7,1020,28.6,16.7,112.5,9.7,5,,2020-01-02T06:56:28,2020-01-02T16:21:41,obs
Morioka,39.694,141.153,2020-01-03,4.3,-4.3,0.2,1.3,-6.7,-2.6,-4.7,71.2,0,0,0,,0,3.9,,18.3,18.3,9.6,1.8,228.5,1015.8,38.6,14.5,82.8,7.2,4,,2020-01-03T06:56:34,2020-01-03T16:22:32,obs
Morioka,39.694,141.153,2020-01-04,2.9,-3.8,-0.5,-0.7,-4.8,-2.5,-7.1,62.2,0,0,0,,0,3.1,35.3,18.3,18.3,8.2,1.8,291.5,1014.9,44.3,17.1,96,8.3,4,,2020-01-04T06:56:38,2020-01-04T16:23:23,obs
Morioka,39.694,141.153,2020-01-05,0.7,-5.9,-2.4,-1.1,-8.4,-5.1,-6.6,73.8,0,0,0,,0,3,,16.5,16.5,7.7,3.6,348.2,1020.5,45.3,16.3,85.7,7.3,3,,2020-01-05T06:56:40,2020-01-05T16:24:17,obs
Morioka,39.694,141.153,2020-01-06,3.7,-1.6,1,0.5,-5.6,-2.5,-5.9,60.5,0,0,0,,0,2.8,42.5,18.4,18.4,12.5,5.4,311.1,1025.2,45.3,15.6,110.2,9.6,5,,2020-01-06T06:56:40,2020-01-06T16:25:11,obs
Morioka,39.694,141.153,2020-01-07,1.8,-7.3,-2.1,1.8,-10.1,-3.6,-6.7,72.3,0.5,100,4.17,"rain,snow",8.1,4.7,,10.4,10.4,4.8,0,39.6,1027.2,61.9,18.7,90.9,7.9,5,,2020-01-07T06:56:38,2020-01-07T16:26:07,obs
Morioka,39.694,141.153,2020-01-08,2.2,-1.4,0.2,0.6,-3.3,-1.5,-0.1,97.7,17.009,100,16.67,"rain,snow",5.2,14.1,,22.3,22.3,7.1,0,4.7,1006.8,83,5.9,20.5,1.6,1,,2020-01-08T06:56:33,2020-01-08T16:27:04,obs
Morioka,39.694,141.153,2020-01-09,4.6,-3,2.6,4.6,-7.1,0,0.8,87.7,0.516,100,12.5,"rain,snow",0,10.7,,20.5,20.5,10.7,1.8,2.9,1008.9,67.6,11.5,72.8,6.3,3,,2020-01-09T06:56:27,2020-01-09T16:28:03,obs
Morioka,39.694,141.153,2020-01-10,4.3,0.2,1.9,3,-3.8,-0.3,-2.6,73.9,0,0,0,,0,8.2,,16.5,16.5,8.3,3.6,7.2,1017.6,46.7,17.3,122.1,10.6,5,,2020-01-10T06:56:18,2020-01-10T16:29:02,obs
Morioka,39.694,141.153,2020-01-11,4.5,-0.8,1.2,3,-5.3,-0.2,-0.2,90.6,0.1,100,4.17,rain,0,7.8,,16.5,16.5,6.5,1.8,202,1014.9,60.4,14.5,76.6,6.6,3,,2020-01-11T06:56:07,2020-01-11T16:30:03,obs
Morioka,39.694,141.153,2020-01-12,1.6,-2.6,-0.4,1.6,-5.5,-1.5,-0.5,98.7,4.498,100,4.17,"rain,snow",0,7.1,,11.9,11.9,4.6,1.8,106.4,1012.1,73.6,12.3,70.9,6.2,4,,2020-01-12T06:55:53,2020-01-12T16:31:04,obs
Morioka,39.694,141.153,2020-01-13,4.8,-2.4,0.5,3.5,-6.5,-1.3,-1.7,86,0,0,0,,0,6.6,,11.2,11.2,6.5,1.8,350,1013.5,67.3,13.1,81.2,7,4,,2020-01-13T06:55:38,2020-01-13T16:32:07,obs
Morioka,39.694,141.153,2020-01-14,2.5,-2.3,-0.9,2.5,-4.4,-2.1,-2.6,87.9,0.4,100,12.5,"rain,snow",0,5.1,,9.3,9.3,5,1.8,13.2,1021.4,68.3,13.8,84.8,7.3,4,,2020-01-14T06:55:20,2020-01-14T16:33:10,obs
Morioka,39.694,141.153,2020-01-15,3.7,-4.3,-0.4,0.4,-8.3,-3.4,-2.8,84.9,0.5,100,4.17,"rain,snow",2,5.6,,18.3,18.3,9.6,3.6,352,1019.2,71.2,13.9,78.4,6.7,3,,2020-01-15T06:55:00,2020-01-15T16:34:15,obs
Morioka,39.694,141.153,2020-01-16,2.1,-1.4,0.5,1.3,-4.2,-1.7,-3.3,76.6,0.5,100,4.17,"rain,snow",1.2,7.6,,13,13,7.5,1.8,190.4,1020.1,54.6,14.8,97.8,8.4,4,,2020-01-16T06:54:38,2020-01-16T16:35:20,obs
Morioka,39.694,141.153,2020-01-17,4.3,-2.3,0.7,0.7,-4.3,-1.8,-4.1,71.6,0,0,0,,0,6.9,,16.5,16.5,9.1,3.6,221.4,1020.1,56.2,16.7,101.6,8.8,4,,2020-01-17T06:54:14,2020-01-17T16:36:26,obs
Morioka,39.694,141.153,2020-01-18,2.1,-7.1,-2.3,-1.1,-11,-6.1,-6.6,73.3,0,0,0,,0,6.1,,16.6,16.6,11.3,5.4,3.2,1018.3,65.8,18,77.2,6.6,3,,2020-01-18T06:53:48,2020-01-18T16:37:33,obs
Morioka,39.694,141.153,2020-01-19,4.8,-6.1,-0.7,3.1,-11,-2.3,-5.7,71.4,0,0,0,"rain,snow",3.5,7.3,,14.8,14.8,5.8,0,146.5,1015,58.1,18.8,119.4,10.3,5,,2020-01-19T06:53:20,2020-01-19T16:38:40,obs
Morioka,39.694,141.153,2020-01-20,6,-1.1,1.5,2.6,-3.9,-1.4,-0.9,85.6,1,100,4.17,"rain,snow",2.3,11,42.5,22.3,22.3,11.6,1.8,207.7,1010.5,56.3,15.3,104.3,8.9,5,,2020-01-20T06:52:50,2020-01-20T16:39:48,obs
Morioka,39.694,141.153,2020-01-21,2.4,-1.4,0,0.1,-5.4,-3.2,-5,71.4,1.999,100,4.17,"rain,snow",0,8.6,38.9,22.3,22.3,11.6,1.8,277,1019.8,51.9,15.1,98.6,8.5,4,,2020-01-21T06:52:18,2020-01-21T16:40:57,obs
Morioka,39.694,141.153,2020-01-22,3.8,-5.6,-1.2,0.7,-9.8,-4.2,-4.9,76.7,0,0,0,,0,6.2,,18.3,18.3,9.7,1.8,158.2,1028.1,62.6,16.3,92.3,8,4,,2020-01-22T06:51:43,2020-01-22T16:42:06,obs
Morioka,39.694,141.153,2020-01-23,5.1,-2.6,0.6,4.6,-5.3,-0.5,-1.4,87,0.4,100,4.17,rain,0,2.3,,7.6,7.6,4.9,1.8,162.6,1022.5,78.3,15.4,58.2,5,3,,2020-01-23T06:51:07,2020-01-23T16:43:15,obs
