location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Sokcho,38.25085,128.56472,18.06,1980,4/21/80,112
South Korea/Sokcho,38.25085,128.56472,18.06,1981,4/19/81,109
South Korea/Sokcho,38.25085,128.56472,18.06,1982,4/12/82,102
South Korea/Sokcho,38.25085,128.56472,18.06,1983,4/18/83,108
South Korea/Sokcho,38.25085,128.56472,18.06,1984,5/7/84,128
South Korea/Sokcho,38.25085,128.56472,18.06,1985,4/22/85,112
South Korea/Sokcho,38.25085,128.56472,18.06,1986,4/23/86,113
South Korea/Sokcho,38.25085,128.56472,18.06,1987,4/17/87,107
South Korea/Sokcho,38.25085,128.56472,18.06,1988,4/18/88,109
South Korea/Sokcho,38.25085,128.56472,18.06,1989,4/3/89,93
South Korea/Sokcho,38.25085,128.56472,18.06,1990,4/12/90,102
South Korea/Sokcho,38.25085,128.56472,18.06,1991,4/22/91,112
South Korea/Sokcho,38.25085,128.56472,18.06,1992,4/11/92,102
South Korea/Sokcho,38.25085,128.56472,18.06,1993,4/12/93,102
South Korea/Sokcho,38.25085,128.56472,18.06,1994,4/19/94,109
South Korea/Sokcho,38.25085,128.56472,18.06,1995,4/21/95,111
South Korea/Sokcho,38.25085,128.56472,18.06,1996,4/23/96,114
South Korea/Sokcho,38.25085,128.56472,18.06,2004,4/8/04,99
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1982,5/12/82,132
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1989,6/15/89,166
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1990,5/25/90,145
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1991,5/21/91,141
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1992,5/2/92,123
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1993,5/15/93,135
South Korea/Daegwallyeong,37.67713,128.71833,772.57,1994,5/5/94,125
South Korea/Chuncheon,37.90256,127.7357,76.47,1980,4/25/80,116
South Korea/Chuncheon,37.90256,127.7357,76.47,1981,4/11/81,101
South Korea/Chuncheon,37.90256,127.7357,76.47,1982,4/24/82,114
South Korea/Chuncheon,37.90256,127.7357,76.47,1983,4/17/83,107
South Korea/Chuncheon,37.90256,127.7357,76.47,1984,4/25/84,116
South Korea/Chuncheon,37.90256,127.7357,76.47,1985,4/21/85,111
South Korea/Chuncheon,37.90256,127.7357,76.47,1986,4/17/86,107
South Korea/Chuncheon,37.90256,127.7357,76.47,1987,4/18/87,108
South Korea/Chuncheon,37.90256,127.7357,76.47,1988,4/21/88,112
South Korea/Chuncheon,37.90256,127.7357,76.47,1989,4/14/89,104
South Korea/Chuncheon,37.90256,127.7357,76.47,1990,4/12/90,102
South Korea/Chuncheon,37.90256,127.7357,76.47,1991,4/18/91,108
South Korea/Chuncheon,37.90256,127.7357,76.47,1992,4/9/92,100
South Korea/Chuncheon,37.90256,127.7357,76.47,1993,4/2/93,92
South Korea/Chuncheon,37.90256,127.7357,76.47,1994,4/11/94,101
South Korea/Chuncheon,37.90256,127.7357,76.47,2011,4/2/11,92
South Korea/Chuncheon,37.90256,127.7357,76.47,2012,4/18/12,109
South Korea/Chuncheon,37.90256,127.7357,76.47,2014,4/4/14,94
South Korea/Chuncheon,37.90256,127.7357,76.47,2015,4/1/15,91
South Korea/Chuncheon,37.90256,127.7357,76.47,2016,4/7/16,98
South Korea/Gangneung,37.75147,128.89098,26.04,1980,4/17/80,108
South Korea/Gangneung,37.75147,128.89098,26.04,1981,4/14/81,104
South Korea/Gangneung,37.75147,128.89098,26.04,1982,4/12/82,102
South Korea/Gangneung,37.75147,128.89098,26.04,1983,4/16/83,106
South Korea/Gangneung,37.75147,128.89098,26.04,1984,5/1/84,122
South Korea/Gangneung,37.75147,128.89098,26.04,1985,4/22/85,112
South Korea/Gangneung,37.75147,128.89098,26.04,1986,4/14/86,104
South Korea/Gangneung,37.75147,128.89098,26.04,1987,4/15/87,105
South Korea/Gangneung,37.75147,128.89098,26.04,1988,4/17/88,108
South Korea/Gangneung,37.75147,128.89098,26.04,1989,4/9/89,99
South Korea/Gangneung,37.75147,128.89098,26.04,1990,4/7/90,97
South Korea/Gangneung,37.75147,128.89098,26.04,1991,4/15/91,105
South Korea/Gangneung,37.75147,128.89098,26.04,1992,4/5/92,96
South Korea/Gangneung,37.75147,128.89098,26.04,1993,4/8/93,98
South Korea/Gangneung,37.75147,128.89098,26.04,1994,4/11/94,101
South Korea/Seoul,37.57142,126.9658,85.67,1980,4/18/80,109
South Korea/Seoul,37.57142,126.9658,85.67,1981,4/15/81,105
South Korea/Seoul,37.57142,126.9658,85.67,1982,4/13/82,103
South Korea/Seoul,37.57142,126.9658,85.67,1983,4/1/83,91
South Korea/Seoul,37.57142,126.9658,85.67,1984,4/21/84,112
South Korea/Seoul,37.57142,126.9658,85.67,1985,4/16/85,106
South Korea/Seoul,37.57142,126.9658,85.67,1986,4/19/86,109
South Korea/Seoul,37.57142,126.9658,85.67,1987,4/18/87,108
South Korea/Seoul,37.57142,126.9658,85.67,1988,4/16/88,107
South Korea/Seoul,37.57142,126.9658,85.67,1989,4/1/89,91
South Korea/Seoul,37.57142,126.9658,85.67,1990,4/1/90,91
South Korea/Seoul,37.57142,126.9658,85.67,1991,4/12/91,102
South Korea/Seoul,37.57142,126.9658,85.67,1992,4/6/92,97
South Korea/Seoul,37.57142,126.9658,85.67,1993,4/18/93,108
South Korea/Seoul,37.57142,126.9658,85.67,1994,4/13/94,103
South Korea/Seoul,37.57142,126.9658,85.67,1995,4/16/95,106
South Korea/Seoul,37.57142,126.9658,85.67,1996,4/24/96,115
South Korea/Seoul,37.57142,126.9658,85.67,2013,4/18/13,108
South Korea/Seoul,37.57142,126.9658,85.67,2014,3/31/14,90
South Korea/Seoul,37.57142,126.9658,85.67,2015,4/6/15,96
South Korea/Seoul,37.57142,126.9658,85.67,2016,4/5/16,96
South Korea/Seoul,37.57142,126.9658,85.67,2017,4/1/17,91
South Korea/Seoul,37.57142,126.9658,85.67,2018,4/4/18,94
South Korea/Seoul,37.57142,126.9658,85.67,2019,4/8/19,98
South Korea/Seoul,37.57142,126.9658,85.67,2020,4/1/20,92
South Korea/Incheon,37.47772,126.6249,68.99,1980,4/27/80,118
South Korea/Incheon,37.47772,126.6249,68.99,1981,4/2/81,92
South Korea/Incheon,37.47772,126.6249,68.99,1982,4/21/82,111
South Korea/Incheon,37.47772,126.6249,68.99,1983,4/12/83,102
South Korea/Incheon,37.47772,126.6249,68.99,1985,4/26/85,116
South Korea/Incheon,37.47772,126.6249,68.99,1986,4/27/86,117
South Korea/Incheon,37.47772,126.6249,68.99,1987,4/22/87,112
South Korea/Incheon,37.47772,126.6249,68.99,1988,4/22/88,113
South Korea/Incheon,37.47772,126.6249,68.99,1989,4/13/89,103
South Korea/Incheon,37.47772,126.6249,68.99,1990,4/18/90,108
South Korea/Incheon,37.47772,126.6249,68.99,1991,4/13/91,103
South Korea/Incheon,37.47772,126.6249,68.99,1992,4/7/92,98
South Korea/Incheon,37.47772,126.6249,68.99,1993,4/25/93,115
South Korea/Incheon,37.47772,126.6249,68.99,1994,4/16/94,106
South Korea/Incheon,37.47772,126.6249,68.99,2015,4/11/15,101
South Korea/Incheon,37.47772,126.6249,68.99,2016,4/11/16,102
South Korea/Incheon,37.47772,126.6249,68.99,2017,4/14/17,104
South Korea/Incheon,37.47772,126.6249,68.99,2018,4/12/18,102
South Korea/Incheon,37.47772,126.6249,68.99,2019,4/15/19,105
South Korea/Incheon,37.47772,126.6249,68.99,2020,4/6/20,97
South Korea/Wonju,37.33756,127.9466,148.6,1980,4/21/80,112
South Korea/Wonju,37.33756,127.9466,148.6,1981,4/2/81,92
South Korea/Wonju,37.33756,127.9466,148.6,1982,4/28/82,118
South Korea/Wonju,37.33756,127.9466,148.6,1983,4/26/83,116
South Korea/Wonju,37.33756,127.9466,148.6,1984,4/23/84,114
South Korea/Wonju,37.33756,127.9466,148.6,1985,4/19/85,109
South Korea/Wonju,37.33756,127.9466,148.6,1986,4/19/86,109
South Korea/Wonju,37.33756,127.9466,148.6,1987,4/22/87,112
South Korea/Wonju,37.33756,127.9466,148.6,1988,4/25/88,116
South Korea/Wonju,37.33756,127.9466,148.6,1989,4/14/89,104
South Korea/Wonju,37.33756,127.9466,148.6,1990,4/1/90,91
South Korea/Wonju,37.33756,127.9466,148.6,1991,4/15/91,105
South Korea/Wonju,37.33756,127.9466,148.6,1992,4/1/92,92
South Korea/Wonju,37.33756,127.9466,148.6,1993,4/19/93,109
South Korea/Wonju,37.33756,127.9466,148.6,1994,4/12/94,102
South Korea/Wonju,37.33756,127.9466,148.6,2005,4/18/05,108
South Korea/Ulleungdo,37.48129,130.89864,222.4,1980,4/25/80,116
South Korea/Ulleungdo,37.48129,130.89864,222.4,1981,4/2/81,92
South Korea/Ulleungdo,37.48129,130.89864,222.4,1982,4/18/82,108
South Korea/Ulleungdo,37.48129,130.89864,222.4,1983,4/18/83,108
South Korea/Ulleungdo,37.48129,130.89864,222.4,1984,4/29/84,120
South Korea/Ulleungdo,37.48129,130.89864,222.4,1985,4/24/85,114
South Korea/Ulleungdo,37.48129,130.89864,222.4,1986,4/2/86,92
South Korea/Ulleungdo,37.48129,130.89864,222.4,1987,4/9/87,99
South Korea/Ulleungdo,37.48129,130.89864,222.4,1988,4/23/88,114
South Korea/Ulleungdo,37.48129,130.89864,222.4,1989,4/14/89,104
