location,lat,long,alt,year,bloom_date,bloom_doy
2251,45.4856,-122.855499,63,2010,2010-02-27,58
1841,39.973316,-82.802826,275,2010,2010-04-04,94
8861,41.71357,-121.507545,1452,2013,2013-05-08,128
8861,41.71357,-121.507545,1452,2014,2014-05-01,121
8861,41.71357,-121.507545,1452,2015,2015-05-20,140
8861,41.71357,-121.507545,1452,2016,2016-04-28,119
8861,41.71357,-121.507545,1452,2017,2017-05-17,137
8861,41.71357,-121.507545,1452,2018,2018-05-23,143
8861,41.71357,-121.507545,1452,2019,2019-05-23,143
8937,41.709045,-121.514771,1506,2013,2013-05-22,142
8937,41.709045,-121.514771,1506,2014,2014-05-21,141
8937,41.709045,-121.514771,1506,2015,2015-05-20,140
8937,41.709045,-121.514771,1506,2016,2016-05-19,140
8937,41.709045,-121.514771,1506,2017,2017-05-24,144
8937,41.709045,-121.514771,1506,2019,2019-05-23,143
23040,53.93327,-116.5765,1255,2016,2016-04-19,110
27098,44.668655,-123.222923,98,2017,2017-05-19,139
27101,44.611359,-123.329849,213,2017,2017-05-15,135
33735,48.024921,-122.469193,59,2019,2019-04-28,118
33735,48.024921,-122.469193,59,2021,2021-04-18,108
29890,48.91993,-122.640564,10,2019,2019-05-11,131
29890,48.91993,-122.640564,10,2020,2020-05-09,130
29890,48.91993,-122.640564,10,2021,2021-04-30,120
29890,48.91993,-122.640564,10,2022,2022-04-28,118
6432,37.799515,-122.412834,46,2012,2012-03-29,89
6432,37.799515,-122.412834,46,2013,2013-03-23,82
3,35.879211,-84.172203,284,2011,2011-04-09,99
3,35.879211,-84.172203,284,2013,2013-04-10,100
3,35.879211,-84.172203,284,2014,2014-04-06,96
3,35.879211,-84.172203,284,2015,2015-04-07,97
10918,37.243382,-80.427132,651,2013,2013-04-18,108
8309,39.731804,-104.961166,1639,2014,2014-04-25,115
21670,42.330338,-71.049316,1,2015,2015-10-06,279
26673,39.032318,-94.59211,272,2017,2017-04-15,105
26673,39.032318,-94.59211,272,2018,2018-04-12,102
26736,40.667068,-73.991501,15,2017,2017-04-20,110
28716,44.935444,-123.031776,46,2018,2018-03-13,72
29913,38.909508,-77.07354,40,2018,2018-04-16,106
29913,38.909508,-77.07354,40,2019,2019-04-11,101
29913,38.909508,-77.07354,40,2020,2020-04-09,100
29916,38.908012,-77.072189,41,2018,2018-04-11,101
29916,38.908012,-77.072189,41,2019,2019-03-30,89
29916,38.908012,-77.072189,41,2020,2020-03-25,85
30294,40.733265,-74.666374,82,2018,2018-04-20,110
30297,40.733265,-74.666374,82,2018,2018-04-25,115
30334,40.733265,-74.666374,82,2018,2018-04-20,110
30300,40.73381,-74.668793,82,2018,2018-04-13,103
30336,40.733189,-74.669708,87,2018,2018-04-20,110
30335,40.733265,-74.666374,82,2018,2018-04-20,110
31254,38.891289,-77.03009,3,2019,2019-04-23,113
31254,38.891289,-77.03009,3,2020,2020-04-04,95
32789,40.73082,-73.99733,5,2019,2019-04-16,106
32789,40.73082,-73.99733,5,2020,2020-04-16,107
32789,40.73082,-73.99733,5,2021,2021-04-14,104
32789,40.73082,-73.99733,5,2022,2022-04-15,105
32789,40.73082,-73.99733,5,2023,2023-04-11,101
36695,37.997528,-84.401024,311,2020,2020-03-26,86
37094,39.065319,-77.117416,103,2020,2020-03-20,80
37671,40.585594,-75.569016,124,2020,2020-03-27,87
37739,40.992794,-73.662766,10,2020,2020-04-17,108
38179,39.891624,-75.028877,19,2020,2020-04-03,94
38113,37.396343,-79.28231,239,2020,2020-04-16,107
40293,38.028393,-84.499519,304,2020,2020-08-30,243
43221,40.879101,-73.147514,45,2021,2021-04-07,97
43839,44.571491,-123.282806,76,2021,2021-04-08,98
43946,47.653053,-122.30777,32,2021,2021-04-09,99
43967,44.576656,-123.282387,73,2021,2021-04-09,99
43970,45.327137,-122.917313,205,2021,2021-04-09,99
43975,47.84,-122.321098,136,2021,2021-04-10,100
43989,47.663101,-122.315498,64,2021,2021-04-11,101
43756,34.689434,135.269272,6,2021,2021-04-13,103
44023,47.381573,-122.233505,11,2021,2021-04-25,115
44322,42.046661,-72.753372,71,2021,2021-03-27,86
47791,44.570518,-123.278702,77,2022,2022-04-08,98
48039,35.928917,-79.914223,244,2022,2022-04-30,120
48098,42.721954,-73.752441,100,2022,2022-04-27,117
50739,40.691261,-73.963165,20,2023,2023-03-27,86
51102,40.6912,-73.963203,20,2023,2023-03-27,86
50546,41.844032,-71.436195,54,2023,2023-04-18,108
51658,47.837257,-122.215523,72,2023,2023-04-09,99
52046,39.296749,-102.272293,1268,2023,2023-05-04,124
52605,38.038338,-84.5047,296,2023,2023-09-12,255
2348,35.926178,-78.692719,129,2009,2009-03-29,88
2348,35.926178,-78.692719,129,2010,2010-03-24,83
2424,35.875225,-78.737076,118,2010,2010-03-22,81
5399,38.886761,-77.041016,2,2011,2011-04-05,95
8309,39.731804,-104.961166,1639,2014,2014-03-30,89
18536,40.866119,-73.879341,25,2014,2014-05-02,122
18536,40.866119,-73.879341,25,2015,2015-04-29,119
18536,40.866119,-73.879341,25,2016,2016-03-25,85
18536,40.866119,-73.879341,25,2017,2017-04-11,101
18536,40.866119,-73.879341,25,2018,2018-04-18,108
